model,ADJ_R2,MSE,AIC
011101000110100,0.6370376767728795,921186357.8190325,579.0181496105913
110001010010100,0.6370016721897592,982696252.009382,578.5048170025349
010101001010100,0.6366434804979895,983665935.9060724,578.5275012583336
101001101010100,0.6364959921636089,922561135.4209172,579.052449199683
011001100011100,0.6363978600821495,922810191.3942784,579.058657475859
010001000000000,0.6360462987253592,1458067160.7246208,704.271128785397
000001111001101,0.6359726199012945,1166689865.5903847,708.028777097758
000000111001001,0.6359209710376086,1283540937.4266262,706.7014345411678
000001101101010,0.6358372975753134,1225479745.3454506,707.4053083871008
011011000011100,0.6357555269670077,924440411.5713564,579.0992530222853
100101010010100,0.6356693225312531,986303141.9465295,578.5890816921046
000001100010000,0.6354241468574491,1172023161.5344179,576.5571102044837
000111000011110,0.6351104494799479,926077596.8734899,579.1399500288551
011001010011100,0.6349619329683087,926454526.862301,579.1493095317228
001011100011110,0.6347413776477939,865213336.365154,579.5763658482574
101001010010110,0.6346954764922991,927130784.5754166,579.1660920644671
100001100000000,0.6345906537085719,1405342799.1969855,705.239876524114
010011000001010,0.6345585553773547,1288344060.1956317,706.8060174397106
000001100001010,0.6344543309220685,1347289293.2373552,706.058651295697
010001101010110,0.634384140399293,927920945.2703997,579.1856858006323
100001111001010,0.6343576823138286,1171865661.2031941,708.152719003033
000101011010110,0.6339591018341443,928999679.0747266,579.2124084079051
100000000101010,0.6336402788287913,1350289639.7390008,706.1209365809661
100001000100000,0.6335157446487487,1409476836.0582356,705.322122017851
000001001111100,0.6334986693032174,992179457.6983689,578.7257072654058
011001001010100,0.6333890929675657,992476098.8840275,578.7325827630693
000000001010100,0.6333357870147982,1178736733.1659663,576.6884826748784
000011000000100,0.6332558259246062,1410476468.1449826,705.3419731973437
001101000111100,0.6331784472768262,930980954.4919014,579.2614082211377
000000001010101,0.6329075950753004,1118002042.0929892,577.4717804068584
001101001110100,0.6328743790616231,931752669.5536767,579.2804656399841
000011001001001,0.632627671458812,1295151287.0824194,706.9535716392006
000101101111100,0.6325411517287052,870425163.5246406,579.7144964382076
001001011011100,0.6324274527261635,932886953.7942975,579.3084480344646
000010111001100,0.632290907061654,1237414053.0453818,707.6766666009605
000110010001000,0.6322493328981341,1355416240.1021607,706.2270419658972
010011101010100,0.6322305744178982,933386624.4215733,579.3207639401669
000001010010000,0.6321442090722429,1182567367.9581785,576.76310641984
000001010000000,0.6321094109851266,1473839075.4197838,704.5723784405877
010101100010110,0.63208322385722,933760595.2654529,579.3299772784977
101001010011100,0.6318579650739031,934332294.5986661,579.344054828009
000101001001010,0.6317758276370095,1298154416.4323673,707.018421424764
000010111001010,0.6314605581131576,1240208342.0024226,707.7398240248895
000101101101000,0.6313777378928102,1240487048.4758341,707.7461156327331
010111101110100,0.6309258865287951,811804828.5384699,580.1108942641388
100111000001001,0.6307175210453868,1242708809.1577108,707.7962198687734
010101100011100,0.6305416333132097,937673101.020483,579.4261471440406
100011000001011,0.6301334232726801,1244674414.0507646,707.8404727590785
000001111001110,0.6300557567978222,1185653121.0934043,708.4802271282683
100001100010110,0.6299654478017962,1001744470.154241,578.9463746348516
110001100011100,0.629853845717034,939418683.1653206,579.4689243819388
000001001101010,0.6297135345439024,1305424919.2611604,707.1748019932987
000001001001101,0.629570506888262,1305929155.5301974,707.185615245967
011101000010100,0.6293586945226531,1003387051.2011153,578.9840573226221
011001110010100,0.6292939424885056,940839699.0196211,579.5036891474425
000001101001110,0.6292586119420995,1247618327.745075,707.906620383228
100011000101010,0.6291597585326344,1247950989.0809317,707.9140852269381
001000111001000,0.6289731893790954,1308034966.1225893,707.2307288792063
000011111001100,0.6288954312692759,1189371907.3961642,708.5679113423911
010001011010110,0.6287604868727128,942193591.7085398,579.5367629516757
010111100010100,0.6287059640602084,942331968.8012981,579.5401406433408
000100000101010,0.6279270450381625,1371346868.33452,706.554215723151
101001001010100,0.6278039159002744,1007596092.9731055,579.0803366996032
001001001001000,0.6275911074519296,1372585031.3095303,706.5794849841393
000011100111100,0.6272812056298829,945947958.5203804,579.6282291348795
000000011001100,0.6271678548726118,1374145010.5862331,706.6112896564426
001101000011100,0.627137325805784,1009400662.1330621,579.1214920476704
001001101001000,0.6270991406648267,1314641823.5687628,707.3718003223529
000111101010100,0.6265930867021726,947694381.5736823,579.6706529239592
000011011010100,0.6265635126955438,1010954068.7181242,579.1568604490222
100001010001000,0.6264366128785648,1376840144.444145,706.6661527457813
110011000001000,0.6263789586681309,1317180786.2708752,707.4258244632259
000011101001001,0.6259575829557378,1258726945.224706,708.1548250735756
001111100010100,0.6258660613563223,949539547.8279407,579.7153905143751
000001100000100,0.625761057606423,1439300905.162005,705.9084116629095
010001011011100,0.6257524023491517,949828010.6246238,579.7223766760005
000010110001000,0.6256545960018255,1379722418.9567099,706.7247066250469
000011111001010,0.625496462477982,1200265435.3532796,708.8231976908813
000001011001001,0.6254723896820792,1320376846.2293816,707.493682485766
000011001001100,0.6253261105726965,1320892545.32284,707.5046163002769
100010000101000,0.6253158243810905,1380971027.3142383,706.7500343458354
000100111001010,0.6253096510519075,1260907364.6339982,708.2032858827185
011001010010110,0.6250757795701557,951545256.8331534,579.763922093948
000011100001000,0.6250058861079758,1382113364.790114,706.7731863358637
001001101111100,0.6248330859142691,888683791.6092631,580.1919694526397
